,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
mainheatcont_description_No thermostatic control of room temperature,0.0006480017,0.0,0.0,9.8330775e-06,0.0,0.0011227147,0.015280021,0.008677213,0.012802533,0.0,0.0005873406,0.0020723983,0.0,0.048672367,0.0,0.0,0.0003512219,0.0,0.00050621846,0.030683063,0.00041036404,0.0,0.0,5.2374585e-06,0.05439874,0.035271246,0.00039988535,0.0,0.0,2.2498363e-05,0.0007731564,0.004197406,0.0004206269,8.256484e-05,5.6379786e-06,0.00011084888,0.00037946773,0.00011599962,0.0005996665,0.0019434355
mainheatcont_description_No time or thermostatic control of room temperature,0.0,0.0,0.0,4.641001e-05,7.4472075e-05,0.00019084914,0.0,0.0,0.0009819871,0.0,0.0010209063,0.0,0.00026859448,0.0,0.08285237,0.0,0.0,0.0,0.0,0.015369717,1.942149e-06,0.0,0.0,0.0,0.014494177,0.0126355905,0.0009407342,0.0,0.0,0.0074858204,0.0014126757,0.0,0.0,0.0,0.00015685448,0.00012922556,0.0051074014,0.00017767615,0.0010911096,0.0051060636
mainheatcont_description_None,0.0,5.3645494e-05,0.0,0.0,0.0,0.0,0.0,0.001422019,0.00078588654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049327505,0.0,0.013675859,0.0,0.01031358,0.0,0.0,0.0034149822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059781066
mainheatcont_description_Programmer and appliance thermostats,0.000557271,0.026614321,0.029429026,0.0,0.0,0.00023322238,0.0,0.015563241,0.0,0.0,0.0005475181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010113544,0.0,0.0,0.0,0.0,2.8754539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.823261e-05,0.0,5.1209256e-05,0.00081792695,0.0,0.0007691166,0.0021079972
mainheatcont_description_Programmer and at least two room thermostats,0.0,0.0,0.0,2.761808e-06,0.0,0.0,0.0,0.004089287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011808015,0.0,0.0,0.0,0.0,0.0011766689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31479576,0.00847779,0.0001681933,0.0029179307,5.1418403e-05,0.00016912486,0.0,2.977544e-05,5.2496704e-05,0.00013123057,0.0,0.0
mainheatcont_description_Programmer and room thermostat,0.0,0.0,0.0,7.843743e-05,0.0054046,1.25669185e-05,0.0,1.7341694e-05,0.0006343998,0.0,0.00073229684,0.0021142017,0.0,0.0001714503,0.0094148,0.009348312,8.4669504e-05,0.00012468956,0.0,0.021763891,0.00028955477,0.00043454426,0.0,0.00713288,0.0,0.01621977,0.11549603,8.405885e-08,0.028108561,0.050693396,0.001567921,0.004155243,0.0,5.5687713e-05,0.00018135874,0.00090786617,0.005336195,0.0053083026,0.0047664703,0.0028653936
mainheatcont_description_Programmer and room thermostats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001780516,7.905136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024002953
"mainheatcont_description_Programmer, TRVs and boiler energy manager",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052854035,0.0,0.0,0.0,0.0,0.0,0.0,6.4684273e-06,0.0,0.0,0.0
"mainheatcont_description_Programmer, TRVs and bypass",1.6805203e-05,0.0,0.0,1.4316878e-05,0.0005610635,0.0,0.13426465,0.0021734466,0.0010375348,0.0,0.0012661217,0.0,0.0002326881,0.0,0.0040928302,0.005926955,0.0,0.0,0.0,0.004355509,0.0,0.0,0.0,0.0,0.0,0.0041169506,0.07607426,0.0008360784,0.02136904,0.06769583,8.0473124e-05,0.0055047716,8.267972e-05,8.2079154e-05,0.0008075093,2.9013752e-05,0.002504648,0.0,0.0,0.00076334167
"mainheatcont_description_Programmer, no room thermostat",0.05522697,0.0,0.0,0.0,0.00025680536,0.00030468046,0.0681526,0.0,0.0,0.0,0.002177815,0.0,0.00021895996,0.0,0.0028072072,0.008476036,1.466131e-05,0.0,0.0,0.0,0.0,0.001955939,0.0,0.0,0.0,0.0,0.05248281,0.0,0.0032012956,0.020651633,0.00092336495,0.015168627,0.0,3.3113593e-05,0.00053784763,0.0008581181,0.0040330715,0.0,0.00018088197,0.0016363736
